release,arm_encoding_names,asl_identifiers,opcode_masks
2019-12,2336,1152,1143
2020-03,2336,1152,
2020-06,2336,1152,
2020-09,2311,1126,
2020-12,2343,1158,
2021-03,2341,1156,
2021-06,2341,1156,
2021-09,2462,1161,
2021-12,2462,1162,
2022-03,2811,1511,
2022-06,2811,1511,
2022-09,3609,2221,
2022-12,3613,2222,
2023-03,3613,2222,
2023-06,3613,2812,
2023-09,3759,2944,
2023-12,3762,2948,
2024-06,3762,2948,
2024-09,4296,3276,
2024-12,4296,3276,
2025-06,4296,3276,
2025-09,4331,3311,
2025-12,4331,3311,803
2026-03,4331,3311,
2026-06,4332,3312,
