date,isa,source,spec_version,spec_date,spec_ref,isa_instruction_count,remill_ref,remill_date,remill_covered_count,coverage_pct,remill_ref_fixed,remill_date_fixed,remill_covered_fixed,coverage_pct_fixed,is_change_point
2019-12-01,a64,arm-mra,2019-12,2019-12-01,specs/a64/2019-12,2336,44e2fa5c9db8,2019-11-29,380,16.27,7055a0c54aff,2026-03-26,380,16.27,1
2020-03-01,a64,arm-mra,2020-03,2020-03-01,specs/a64/2020-03,2336,45d0fb2d82aa,2020-02-29,380,16.27,7055a0c54aff,2026-03-26,380,16.27,0
2020-06-01,a64,arm-mra,2020-06,2020-06-01,specs/a64/2020-06,2336,a466b430eab3,2020-05-27,380,16.27,7055a0c54aff,2026-03-26,380,16.27,0
2020-09-01,a64,arm-mra,2020-09,2020-09-01,specs/a64/2020-09,2311,5f74c389e9ae,2020-08-12,380,16.44,7055a0c54aff,2026-03-26,380,16.44,1
2020-12-01,a64,arm-mra,2020-12,2020-12-01,specs/a64/2020-12,2343,bf69d9ca94ca,2020-11-18,380,16.22,7055a0c54aff,2026-03-26,380,16.22,1
2021-03-01,a64,arm-mra,2021-03,2021-03-01,specs/a64/2021-03,2341,6fc78e6db23e,2021-02-24,380,16.23,7055a0c54aff,2026-03-26,380,16.23,1
2021-06-01,a64,arm-mra,2021-06,2021-06-01,specs/a64/2021-06,2341,e768d255644a,2021-05-26,380,16.23,7055a0c54aff,2026-03-26,380,16.23,0
2021-09-01,a64,arm-mra,2021-09,2021-09-01,specs/a64/2021-09,2462,d93575e0d4b4,2021-08-31,380,15.43,7055a0c54aff,2026-03-26,380,15.43,1
2021-12-01,a64,arm-mra,2021-12,2021-12-01,specs/a64/2021-12,2462,7d33dec70dd0,2021-11-30,380,15.43,7055a0c54aff,2026-03-26,380,15.43,0
2022-03-01,a64,arm-mra,2022-03,2022-03-01,specs/a64/2022-03,2811,a13535d11ff5,2022-02-28,380,13.52,7055a0c54aff,2026-03-26,380,13.52,1
2022-06-01,a64,arm-mra,2022-06,2022-06-01,specs/a64/2022-06,2811,36ff255ea418,2022-05-31,380,13.52,7055a0c54aff,2026-03-26,380,13.52,0
2022-09-01,a64,arm-mra,2022-09,2022-09-01,specs/a64/2022-09,3609,ab9bc055b5fa,2022-08-29,380,10.53,7055a0c54aff,2026-03-26,380,10.53,1
2022-12-01,a64,arm-mra,2022-12,2022-12-01,specs/a64/2022-12,3613,829ee4acf587,2022-11-17,380,10.52,7055a0c54aff,2026-03-26,380,10.52,1
2023-03-01,a64,arm-mra,2023-03,2023-03-01,specs/a64/2023-03,3613,38ec19ad3df4,2023-02-24,380,10.52,7055a0c54aff,2026-03-26,380,10.52,0
2023-06-01,a64,arm-mra,2023-06,2023-06-01,specs/a64/2023-06,3613,396e228e934b,2023-05-10,380,10.52,7055a0c54aff,2026-03-26,380,10.52,0
2023-09-01,a64,arm-mra,2023-09,2023-09-01,specs/a64/2023-09,3759,fe7033d608ed,2023-08-19,380,10.11,7055a0c54aff,2026-03-26,380,10.11,1
2023-12-01,a64,arm-mra,2023-12,2023-12-01,specs/a64/2023-12,3762,17cff6b4df90,2023-11-10,380,10.1,7055a0c54aff,2026-03-26,380,10.1,1
2024-06-01,a64,arm-mra,2024-06,2024-06-01,specs/a64/2024-06,3762,1c9b5a0b26fb,2024-05-11,380,10.1,7055a0c54aff,2026-03-26,380,10.1,0
2024-09-01,a64,arm-mra,2024-09,2024-09-01,specs/a64/2024-09,4296,7f091d425606,2024-07-17,380,8.85,7055a0c54aff,2026-03-26,380,8.85,1
2024-12-01,a64,arm-mra,2024-12,2024-12-01,specs/a64/2024-12,4296,7f091d425606,2024-07-17,380,8.85,7055a0c54aff,2026-03-26,380,8.85,0
2025-06-01,a64,arm-mra,2025-06,2025-06-01,specs/a64/2025-06,4296,d13d43f81a6f,2025-05-24,380,8.85,7055a0c54aff,2026-03-26,380,8.85,0
2025-09-01,a64,arm-mra,2025-09,2025-09-01,specs/a64/2025-09,4331,e272b48e8490,2025-08-19,380,8.77,7055a0c54aff,2026-03-26,380,8.77,1
2025-12-01,a64,arm-mra,2025-12,2025-12-01,specs/a64/2025-12,4331,9816ccca56f4,2025-11-24,380,8.77,7055a0c54aff,2026-03-26,380,8.77,0
2026-03-01,a64,arm-mra,2026-03,2026-03-01,specs/a64/2026-03,4331,504ba5617036,2026-02-13,380,8.77,7055a0c54aff,2026-03-26,380,8.77,0
2026-06-01,a64,arm-mra,2026-06,2026-06-01,specs/a64/2026-06,4332,7055a0c54aff,2026-03-26,380,8.77,7055a0c54aff,2026-03-26,380,8.77,1
2019-08-21,x86-64,intel-xed-enum,11.0.1,2019-08-21,b4109c0823ff,6339,b1ea8c291105,2019-08-16,1752,27.64,7055a0c54aff,2026-03-26,2027,31.98,1
2020-12-09,x86-64,intel-xed-enum,12.0.1,2020-12-09,93c0b83e8544,6398,bf69d9ca94ca,2020-11-18,1800,28.13,7055a0c54aff,2026-03-26,2027,31.68,1
2021-07-13,x86-64,intel-xed-enum,13.0.0,2021-07-13,d57a3bd0a8ad,6866,262225371700,2021-07-07,1798,26.19,7055a0c54aff,2026-03-26,2029,29.55,1
2022-10-12,x86-64,intel-xed-enum,v2022.10.11,2022-10-12,9fc12ab6c0ba,6958,f4c3d5a743d2,2022-09-29,1818,26.13,7055a0c54aff,2026-03-26,2027,29.13,1
2023-12-20,x86-64,intel-xed-enum,v2023.12.19,2023-12-20,2b5c29a1ab4e,8074,17cff6b4df90,2023-11-10,1817,22.5,7055a0c54aff,2026-03-26,2030,25.14,1
2024-11-05,x86-64,intel-xed-enum,v2024.11.04,2024-11-05,d4d502003bff,8955,7f091d425606,2024-07-17,1816,20.28,7055a0c54aff,2026-03-26,2029,22.66,1
2025-12-15,x86-64,intel-xed-enum,v2025.12.14,2025-12-15,95ca7183f6e2,8863,d1ca5b39c95e,2025-12-12,2003,22.6,7055a0c54aff,2026-03-26,2040,23.02,1
2026-08-24,x86-64,intel-xed-enum,v2026.08.23,2026-08-24,0bcb6237345c,9002,7055a0c54aff,2026-03-26,2040,22.66,7055a0c54aff,2026-03-26,2040,22.66,1
2019-01-10,x86-64,xed-to-xml-export,8.30.0-18-g47be2133,2019-01-09,afad088655ae,6092,7104442d51d5,2019-01-07,1628,26.72,7055a0c54aff,2026-03-26,1907,31.3,1
2019-01-11,x86-64,xed-to-xml-export,8.30.0-18-g47be2133,2019-01-09,8a1c951645aa,6092,7104442d51d5,2019-01-07,1628,26.72,7055a0c54aff,2026-03-26,1907,31.3,0
2019-01-29,x86-64,xed-to-xml-export,8.30.0-18-g47be2133,2019-01-09,cb791578ffee,6092,7104442d51d5,2019-01-07,1628,26.72,7055a0c54aff,2026-03-26,1907,31.3,0
2019-01-30,x86-64,xed-to-xml-export,8.30.0-18-g47be2133,2019-01-17,515c469ada47,6092,084fe9f39059,2019-01-16,1628,26.72,7055a0c54aff,2026-03-26,1907,31.3,0
2019-02-04,x86-64,xed-to-xml-export,8.30.0-18-g47be2133,2019-01-17,f49f455c8ea4,6092,084fe9f39059,2019-01-16,1628,26.72,7055a0c54aff,2026-03-26,1907,31.3,0
2019-03-01,x86-64,xed-to-xml-export,8.30.0-18-g47be2133,2019-01-17,4132251cb58b,6092,084fe9f39059,2019-01-16,1628,26.72,7055a0c54aff,2026-03-26,1907,31.3,0
2019-03-11,x86-64,xed-to-xml-export,8.30.0-18-g47be2133,2019-01-17,bd6e8ef15316,6093,084fe9f39059,2019-01-16,1629,26.74,7055a0c54aff,2026-03-26,1908,31.31,1
2019-03-14,x86-64,xed-to-xml-export,8.30.0-18-g47be2133,2019-01-17,c2ef0334a95a,6094,084fe9f39059,2019-01-16,1630,26.75,7055a0c54aff,2026-03-26,1909,31.33,1
2019-10-29,x86-64,xed-to-xml-export,8.30.0-18-g47be2133,2019-10-29,1bea5d97a0a2,6094,a7fbd73ac002,2019-10-28,1635,26.83,7055a0c54aff,2026-03-26,1909,31.33,0
2019-11-01,x86-64,xed-to-xml-export,8.30.0-18-g47be2133,2019-10-29,23be460c3e66,6094,a7fbd73ac002,2019-10-28,1635,26.83,7055a0c54aff,2026-03-26,1909,31.33,0
2020-03-13,x86-64,xed-to-xml-export,11.0.1,2019-10-29,78952d178088,6135,a7fbd73ac002,2019-10-28,1635,26.65,7055a0c54aff,2026-03-26,1909,31.12,1
2020-03-13,x86-64,xed-to-xml-export,11.0.1,2019-10-29,a926c8879e24,6135,a7fbd73ac002,2019-10-28,1635,26.65,7055a0c54aff,2026-03-26,1909,31.12,0
2020-03-13,x86-64,xed-to-xml-export,11.0.1,2019-10-29,dfedf9f33a74,6135,a7fbd73ac002,2019-10-28,1635,26.65,7055a0c54aff,2026-03-26,1909,31.12,0
2020-04-14,x86-64,xed-to-xml-export,11.0.1,2019-10-29,a75418ef5c2c,6135,a7fbd73ac002,2019-10-28,1635,26.65,7055a0c54aff,2026-03-26,1909,31.12,0
2020-04-17,x86-64,xed-to-xml-export,11.0.1,2020-04-14,24021c308752,6143,cb3f49bf3e52,2020-04-10,1635,26.62,7055a0c54aff,2026-03-26,1909,31.08,1
2020-12-04,x86-64,xed-to-xml-export,12.0.1,2020-11-03,1cbef1740886,6193,d69012524ca1,2020-11-02,1636,26.42,7055a0c54aff,2026-03-26,1910,30.84,1
2021-01-11,x86-64,xed-to-xml-export,12.0.1,2020-11-03,15f1949231a8,6194,d69012524ca1,2020-11-02,1637,26.43,7055a0c54aff,2026-03-26,1911,30.85,1
2021-01-12,x86-64,xed-to-xml-export,12.0.1,2021-01-11,a7b24049fd0a,6194,37741957d6d4,2020-12-10,1684,27.19,7055a0c54aff,2026-03-26,1911,30.85,0
2021-01-20,x86-64,xed-to-xml-export,12.0.1,2021-01-05,47278c8e658f,6194,37741957d6d4,2020-12-10,1682,27.16,7055a0c54aff,2026-03-26,1913,30.88,0
2021-01-23,x86-64,xed-to-xml-export,12.0.1,2021-01-05,84f584f3296e,6194,37741957d6d4,2020-12-10,1682,27.16,7055a0c54aff,2026-03-26,1913,30.88,0
