year,date,isa,source,spec_version,spec_date,spec_ref,isa_instruction_count,remill_ref,remill_date,remill_covered_count,coverage_pct,is_change_point
2020,2020-12-01,a64,arm-mra,2020-12,2020-12-01,specs/a64/2020-12,2343,7055a0c54aff,2026-03-26,380,16.22,1
2021,2021-12-01,a64,arm-mra,2021-12,2021-12-01,specs/a64/2021-12,2462,7055a0c54aff,2026-03-26,380,15.43,0
2022,2022-12-01,a64,arm-mra,2022-12,2022-12-01,specs/a64/2022-12,3613,7055a0c54aff,2026-03-26,380,10.52,1
2023,2023-12-01,a64,arm-mra,2023-12,2023-12-01,specs/a64/2023-12,3762,7055a0c54aff,2026-03-26,380,10.1,1
2024,2024-12-01,a64,arm-mra,2024-12,2024-12-01,specs/a64/2024-12,4296,7055a0c54aff,2026-03-26,380,8.85,0
2025,2025-12-01,a64,arm-mra,2025-12,2025-12-01,specs/a64/2025-12,4331,7055a0c54aff,2026-03-26,380,8.77,0
2020,2020-12-09,x86-64,intel-xed-enum,12.0.1,2020-12-09,93c0b83e8544,6398,7055a0c54aff,2026-03-26,2027,31.68,1
2021,2021-07-13,x86-64,intel-xed-enum,13.0.0,2021-07-13,d57a3bd0a8ad,6866,7055a0c54aff,2026-03-26,2029,29.55,1
2022,2022-10-12,x86-64,intel-xed-enum,v2022.10.11,2022-10-12,9fc12ab6c0ba,6958,7055a0c54aff,2026-03-26,2027,29.13,1
2023,2023-12-20,x86-64,intel-xed-enum,v2023.12.19,2023-12-20,2b5c29a1ab4e,8074,7055a0c54aff,2026-03-26,2030,25.14,1
2024,2024-11-05,x86-64,intel-xed-enum,v2024.11.04,2024-11-05,d4d502003bff,8955,7055a0c54aff,2026-03-26,2029,22.66,1
2025,2025-12-15,x86-64,intel-xed-enum,v2025.12.14,2025-12-15,95ca7183f6e2,8863,7055a0c54aff,2026-03-26,2040,23.02,1
2020,2021-01-11,x86-64,xed-to-xml-export,12.0.1,2020-11-03,15f1949231a8,6194,7055a0c54aff,2026-03-26,1911,30.85,1
2021,2022-02-19,x86-64,xed-to-xml-export,13.0.0,2021-07-13,35af84a46c69,6661,7055a0c54aff,2026-03-26,1913,28.72,0
2022,2022-11-18,x86-64,xed-to-xml-export,v2022.10.11,2022-10-12,35283e45b233,6755,7055a0c54aff,2026-03-26,1913,28.32,0
2024,2025-03-24,x86-64,xed-to-xml-export,v2024.11.04,2024-11-05,fe0014209c73,6825,7055a0c54aff,2026-03-26,1917,28.09,1
2025,2026-02-15,x86-64,xed-to-xml-export,v2025.06.08,2025-06-11,56fe1b1c228c,8465,7055a0c54aff,2026-03-26,1919,22.67,0
