date,isa,spec_version,spec_date,spec_ref,isa_instruction_count,remill_ref,remill_date,remill_covered_count,coverage_pct,is_change_point
2019-12-01,a64,2019-12,2019-12-01,specs/a64/2019-12,2336,6ea2e7ee0112,2019-12-13,380,16.27,1
2020-03-01,a64,2020-03,2020-03-01,specs/a64/2020-03,2336,74a5683459cb,2020-03-24,380,16.27,0
2020-06-01,a64,2020-06,2020-06-01,specs/a64/2020-06,2336,a466b430eab3,2020-05-27,380,16.27,0
2020-09-01,a64,2020-09,2020-09-01,specs/a64/2020-09,2311,3b2f44f480e2,2020-09-22,380,16.44,1
2020-12-01,a64,2020-12,2020-12-01,specs/a64/2020-12,2343,37741957d6d4,2020-12-10,380,16.22,1
2021-03-01,a64,2021-03,2021-03-01,specs/a64/2021-03,2341,eec3dee7b42f,2021-03-22,380,16.23,1
2021-06-01,a64,2021-06,2021-06-01,specs/a64/2021-06,2341,08cac8e4b05b,2021-06-17,380,16.23,0
2021-09-01,a64,2021-09,2021-09-01,specs/a64/2021-09,2462,14a58af263a2,2021-09-27,380,15.43,1
2021-12-01,a64,2021-12,2021-12-01,specs/a64/2021-12,2462,28e48fec22bf,2021-12-17,380,15.43,0
2022-03-01,a64,2022-03,2022-03-01,specs/a64/2022-03,2811,d3acb05aacb1,2022-03-25,380,13.52,1
2022-06-01,a64,2022-06,2022-06-01,specs/a64/2022-06,2811,65549b31d36e,2022-06-28,380,13.52,0
2022-09-01,a64,2022-09,2022-09-01,specs/a64/2022-09,3609,166553c8e229,2022-09-28,380,10.53,1
2022-12-01,a64,2022-12,2022-12-01,specs/a64/2022-12,3613,ab03a02dbc83,2022-12-02,380,10.52,1
2023-03-01,a64,2023-03,2023-03-01,specs/a64/2023-03,3613,ca80510996ab,2023-03-15,380,10.52,0
2023-06-01,a64,2023-06,2023-06-01,specs/a64/2023-06,3613,396e228e934b,2023-05-10,380,10.52,0
2023-09-01,a64,2023-09,2023-09-01,specs/a64/2023-09,3759,7182636a687e,2023-09-26,380,10.11,1
2023-12-01,a64,2023-12,2023-12-01,specs/a64/2023-12,3762,17cff6b4df90,2023-11-10,380,10.1,1
2024-06-01,a64,2024-06,2024-06-01,specs/a64/2024-06,3762,1c9b5a0b26fb,2024-05-11,380,10.1,0
2024-09-01,a64,2024-09,2024-09-01,specs/a64/2024-09,4296,7f091d425606,2024-07-17,380,8.85,1
2024-12-01,a64,2024-12,2024-12-01,specs/a64/2024-12,4296,7f091d425606,2024-07-17,380,8.85,0
2025-06-01,a64,2025-06,2025-06-01,specs/a64/2025-06,4296,d13d43f81a6f,2025-05-24,380,8.85,0
2025-09-01,a64,2025-09,2025-09-01,specs/a64/2025-09,4331,b6fc70f0f48e,2025-09-06,380,8.77,1
2025-12-01,a64,2025-12,2025-12-01,specs/a64/2025-12,4331,3aae67d6a049,2025-12-15,380,8.77,0
2026-03-01,a64,2026-03,2026-03-01,specs/a64/2026-03,4331,2bdc97233913,2026-03-26,380,8.77,0
2026-06-01,a64,2026-06,2026-06-01,specs/a64/2026-06,4332,7055a0c54aff,2026-03-26,380,8.77,1
2019-01-10,x86-64,8.30.0-18-g47be2133,2019-01-09,afad088655ae,6092,8f7b62e72f80,2019-01-09,1628,26.72,1
2019-01-11,x86-64,8.30.0-18-g47be2133,2019-01-09,8a1c951645aa,6092,8f7b62e72f80,2019-01-09,1628,26.72,0
2019-01-29,x86-64,8.30.0-18-g47be2133,2019-01-09,cb791578ffee,6092,e41c0a5a2716,2019-01-21,1628,26.72,0
2019-01-30,x86-64,8.30.0-18-g47be2133,2019-01-17,515c469ada47,6092,e41c0a5a2716,2019-01-21,1628,26.72,0
